date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2023-12-13,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-14,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-15,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-18,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-19,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-20,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-12-21,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-22,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-26,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-27,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-28,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-29,1008087.5366383014,1008087.5366383014,0,[],0,63
2024-01-02,1008087.5366383014,1008087.5366383014,0,[],0,61
2024-01-03,1008087.5366383014,1008087.5366383014,0,[],0,62
2024-01-04,1008087.5366383014,1008087.5366383014,0,[],0,61
2024-01-05,1008087.5366383014,1008087.5366383014,0,[],0,62
2024-01-08,1008087.5366383014,1008087.5366383014,0,[],0,61
2024-01-09,1008087.5366383014,1008087.5366383014,0,[],1,62
2024-01-10,1007249.799655262,924692.1983750496,1,['UNG'],0,62
2024-01-11,1009129.1578629647,924692.1983750496,1,['UNG'],0,63
2024-01-12,1016243.880679432,924692.1983750496,1,['UNG'],1,63
2024-01-16,1002282.9211915169,924692.1983750496,1,['UNG'],0,63
2024-01-17,1002819.880679432,924692.1983750496,1,['UNG'],0,64
2024-01-18,1001725.8995630497,1001725.8995630497,0,[],0,63
2024-01-19,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-22,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-23,1001725.8995630497,1001725.8995630497,0,[],0,63
2024-01-24,1001725.8995630497,1001725.8995630497,0,[],0,62
2024-01-25,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-26,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-29,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-30,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-01-31,1001725.8995630497,1001725.8995630497,0,[],0,63
2024-02-01,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-02,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-05,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-06,1001725.8995630497,1001725.8995630497,0,[],0,63
2024-02-07,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-08,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-09,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-12,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-13,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-14,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-15,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-16,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-20,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-21,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-22,1001725.8995630497,1001725.8995630497,0,[],0,64
2024-02-23,1001725.8995630497,1001725.8995630497,0,[],0,63
2024-02-26,1001725.8995630497,1001725.8995630497,0,[],1,62
2024-02-27,1001712.8712992821,918315.0609088097,1,['IBIT'],1,61
2024-02-28,1006472.6128611717,918315.0609088097,1,['IBIT'],1,62
2024-02-29,1008954.8362231407,918315.0609088097,1,['IBIT'],1,63
2024-03-01,1010413.4752040062,918315.0609088097,1,['IBIT'],0,63
2024-03-04,1017220.4148135338,918315.0609088097,1,['IBIT'],1,63
2024-03-05,1008698.9401278648,918315.0609088097,1,['IBIT'],1,63
2024-03-06,1016299.1732516441,918315.0609088097,1,['IBIT'],0,63
2024-03-07,1017169.2336421165,918315.0609088097,1,['IBIT'],0,62
2024-03-08,1019523.5089564476,918315.0609088097,1,['IBIT'],1,63
2024-03-11,1023541.1381755028,918315.0609088097,1,['IBIT'],1,63
2024-03-12,1022543.1297373924,918315.0609088097,1,['IBIT'],1,63
2024-03-13,1025665.1128611717,918315.0609088097,1,['IBIT'],0,63
2024-03-14,1019421.1466136131,918315.0609088097,1,['IBIT'],0,62
