ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
URNM,2025-09-18,2025-09-23,56.48643030548095,60.37955862808227,1475,83400.80218528499,88970.78912744492,5569.986942159929,0.06678577179372361,5
URA,2025-09-16,2025-09-24,46.076028778076164,50.79914847564697,1808,83388.76549079247,91753.01558352575,8364.250092733273,0.10030428012100535,8
SLV,2025-10-10,2025-10-13,45.52547954177856,46.89305862808227,1830,83394.93918901622,85728.48299210117,2333.5438030849473,0.027981839495031295,3
GLD,2025-10-20,2025-10-21,397.84746221923825,386.153468536377,209,83233.26972342462,80625.36884917869,-2607.9008742459264,-0.031332433327582905,1
TAN,2025-11-06,2025-11-07,51.65159847259521,49.64030862808227,1613,83397.34236463238,79989.7479992796,-3407.5943653527793,-0.040859747669823726,1
TAN,2025-11-11,2025-11-12,52.242188625335686,51.90803908538818,1595,83409.61714826783,82710.52901885296,-699.0881294148712,-0.008381385184542706,1
SLV,2025-12-02,2025-12-04,52.882831832885735,52.22771878051758,1575,83373.75059693183,82176.39842223586,-1197.352174695974,-0.014361260782000096,2
UNG,2025-12-08,2025-12-09,15.50548977088928,14.585400381088256,5374,83409.82853078775,78303.55970632032,-5106.2688244674355,-0.061219030351832446,1
SLV,2025-12-30,2026-01-02,69.1791106109619,67.23270304870606,1204,83374.94082477373,80867.22629617144,-2507.714528602286,-0.03007755692292081,3
ITA,2026-01-05,2026-01-08,223.58336061096188,232.1276406097412,372,83256.1831574251,86265.1308245169,3008.9476670918084,0.0361408312629746,3
ITA,2026-01-09,2026-01-12,228.97874999999996,233.5262345123291,363,83202.40553625,84685.25310484749,1482.847568597499,0.01782217183554201,3
URNM,2026-01-15,2026-01-22,67.11705305480956,74.96496091461182,1241,83375.55510385968,92938.48497853824,9562.929874678564,0.11469704594789404,7
URA,2026-01-21,2026-01-23,56.34629091644287,57.19275,1478,83363.09779247706,84446.3536155,1083.2558230229479,0.01299442861060166,2
URNM,2026-01-27,2026-01-29,74.48441366577147,84.790125,1118,83356.84805281083,94700.56439025,11343.716337439168,0.13608619570466896,2
URA,2026-01-30,2026-02-03,57.45740152740478,55.49444923782349,1450,83396.54544695167,80386.48444344921,-3010.0610035024583,-0.036093353596008966,4
EWY,2026-03-03,2026-03-04,130.17003327941893,129.17070304870606,640,83392.13012012694,82586.58070122071,-805.5494189062301,-0.009659777460365032,1
USO,2026-03-04,2026-03-05,90.31022122192381,94.36553908538818,922,83349.28999058036,86918.02200969118,3568.7320191108156,0.042816585714337003,1
XLE,2026-03-04,2026-03-05,56.1160613746643,56.47346878051758,1485,83415.68349251786,83779.23803792954,363.55454541168,0.004358347617499169,1
DBC,2026-03-10,2026-03-12,27.59756969451904,28.691279314041136,3019,83400.37997066074,86532.3532768411,3131.9733061803563,0.03755346567104547,2
