date,value_Loose,value_Tight
2022-10-05,1006090.7052186838,999711.8597495605
2022-10-06,1006090.7052186838,999711.8597495605
2022-10-07,1006090.7052186838,999711.8597495605
2022-10-10,1006090.7052186838,999711.8597495605
2022-10-11,1006090.7052186838,999711.8597495605
2022-10-12,1006090.7052186838,999711.8597495605
2022-10-13,1006090.7052186838,999711.8597495605
2022-10-14,1006090.7052186838,999711.8597495605
2022-10-17,1006090.7052186838,999711.8597495605
2022-10-18,1006090.7052186838,999711.8597495605
2022-10-19,1006090.7052186838,999711.8597495605
2022-10-20,1006090.7052186838,999711.8597495605
2022-10-21,1006090.7052186838,999711.8597495605
2022-10-24,1006090.7052186838,999711.8597495605
2022-10-25,1006090.7052186838,999711.8597495605
2022-10-26,1006090.7052186838,999711.8597495605
2022-10-27,1006090.7052186838,999711.8597495605
2022-10-28,1006090.7052186838,999711.8597495605
2022-10-31,1006090.7052186838,999711.8597495605
2022-11-01,1006090.7052186838,999711.8597495605
2022-11-02,1006090.7052186838,999711.8597495605
2022-11-03,1006090.7052186838,999711.8597495605
2022-11-04,1006090.7052186838,999711.8597495605
2022-11-07,1006090.7052186838,999711.8597495605
2022-11-08,1006090.7052186838,999711.8597495605
2022-11-09,1006090.7052186838,999711.8597495605
2022-11-10,1006090.7052186838,999711.8597495605
2022-11-11,1006090.7052186838,999711.8597495605
2022-11-14,1006090.7052186838,999711.8597495605
2022-11-15,1006090.7052186838,999711.8597495605
2022-11-16,1006090.7052186838,999711.8597495605
2022-11-17,1006090.7052186838,999711.8597495605
2022-11-18,1006090.7052186838,999711.8597495605
2022-11-21,1006090.7052186838,999711.8597495605
2022-11-22,1006090.7052186838,999711.8597495605
2022-11-23,1006090.7052186838,999711.8597495605
2022-11-25,1006090.7052186838,999711.8597495605
2022-11-28,1006090.7052186838,999711.8597495605
2022-11-29,1006090.7052186838,999711.8597495605
2022-11-30,1006090.7052186838,999711.8597495605
2022-12-01,1006090.7052186838,999711.8597495605
2022-12-02,1006090.7052186838,999711.8597495605
2022-12-05,1006090.7052186838,999711.8597495605
2022-12-06,1006090.7052186838,999711.8597495605
2022-12-07,1006090.7052186838,999711.8597495605
2022-12-08,1006090.7052186838,999711.8597495605
2022-12-09,1006090.7052186838,999711.8597495605
2022-12-12,1006090.7052186838,999711.8597495605
2022-12-13,1006090.7052186838,999711.8597495605
2022-12-14,1006090.7052186838,999711.8597495605
2022-12-15,1006090.7052186838,999711.8597495605
2022-12-16,1006090.7052186838,999711.8597495605
2022-12-19,1006090.7052186838,999711.8597495605
2022-12-20,1006090.7052186838,999711.8597495605
2022-12-21,1006090.7052186838,999711.8597495605
2022-12-22,1006090.7052186838,999711.8597495605
2022-12-23,1006090.7052186838,999711.8597495605
2022-12-27,1006090.7052186838,999711.8597495605
2022-12-28,1006090.7052186838,999711.8597495605
2022-12-29,1006090.7052186838,999711.8597495605
2022-12-30,1006090.7052186838,999711.8597495605
2023-01-03,1006090.7052186838,999711.8597495605
2023-01-04,1006090.7052186838,999711.8597495605
2023-01-05,1006090.7052186838,999711.8597495605
2023-01-06,1006090.7052186838,999711.8597495605
2023-01-09,1006090.7052186838,999711.8597495605
2023-01-10,1006090.7052186838,999711.8597495605
2023-01-11,1006090.7052186838,999711.8597495605
2023-01-12,1006090.7052186838,999711.8597495605
2023-01-13,1006090.7052186838,999711.8597495605
2023-01-17,1006090.7052186838,999711.8597495605
2023-01-18,1006090.7052186838,999711.8597495605
2023-01-19,1006090.7052186838,999711.8597495605
2023-01-20,1006090.7052186838,999711.8597495605
2023-01-23,1006090.7052186838,999711.8597495605
2023-01-24,1006090.7052186838,999711.8597495605
2023-01-25,1006090.7052186838,999711.8597495605
2023-01-26,1006090.7052186838,999711.8597495605
2023-01-27,1006090.7052186838,999711.8597495605
2023-01-30,1006090.7052186838,999711.8597495605
2023-01-31,1006090.7052186838,999711.8597495605
2023-02-01,1006090.7052186838,999711.8597495605
2023-02-02,1006090.7052186838,999711.8597495605
2023-02-03,1006767.8265165874,999711.8597495605
2023-02-06,1005571.0128035137,999711.8597495605
2023-02-07,1005483.66335349,999711.8597495605
2023-02-08,1005483.66335349,999711.8597495605
2023-02-09,1005483.66335349,999711.8597495605
2023-02-10,1005483.66335349,999711.8597495605
2023-02-13,1005483.66335349,999711.8597495605
2023-02-14,1005483.66335349,999711.8597495605
2023-02-15,1005483.66335349,999711.8597495605
2023-02-16,1005483.66335349,999711.8597495605
2023-02-17,1005483.66335349,999711.8597495605
2023-02-21,1005483.66335349,999711.8597495605
2023-02-22,1005483.66335349,999711.8597495605
2023-02-23,1005483.66335349,999711.8597495605
2023-02-24,1005483.66335349,999711.8597495605
2023-02-27,1005483.66335349,999711.8597495605
2023-02-28,1005483.66335349,999711.8597495605
2023-03-01,1005483.66335349,999711.8597495605
2023-03-02,1005483.66335349,999711.8597495605
2023-03-03,1005483.66335349,999711.8597495605
2023-03-06,1005483.66335349,999711.8597495605
2023-03-07,1005483.66335349,999711.8597495605
2023-03-08,1005483.66335349,999711.8597495605
2023-03-09,1005483.66335349,999711.8597495605
2023-03-10,1005483.66335349,999711.8597495605
2023-03-13,1005483.66335349,999711.8597495605
2023-03-14,1005483.66335349,999711.8597495605
2023-03-15,1005483.66335349,999711.8597495605
2023-03-16,1005483.66335349,999711.8597495605
2023-03-17,1005483.66335349,999711.8597495605
2023-03-20,1005483.66335349,999711.8597495605
2023-03-21,1005483.66335349,999711.8597495605
2023-03-22,1005483.66335349,999711.8597495605
2023-03-23,1005483.66335349,999711.8597495605
2023-03-24,1005483.66335349,999711.8597495605
2023-03-27,1005483.66335349,999711.8597495605
2023-03-28,1005483.66335349,999711.8597495605
2023-03-29,1005483.66335349,999711.8597495605
2023-03-30,1005483.66335349,999711.8597495605
2023-03-31,1005483.66335349,999711.8597495605
2023-04-03,1005483.66335349,999711.8597495605
2023-04-04,1005483.66335349,999711.8597495605
2023-04-05,1005483.66335349,999711.8597495605
2023-04-06,1005483.66335349,999711.8597495605
2023-04-10,1005483.66335349,999711.8597495605
2023-04-11,1005483.66335349,999711.8597495605
2023-04-12,1005483.66335349,999711.8597495605
2023-04-13,1005483.66335349,999711.8597495605
2023-04-14,1005483.66335349,999711.8597495605
2023-04-17,1005483.66335349,999711.8597495605
2023-04-18,1004842.4598895657,999711.8597495605
2023-04-19,1003929.5669132483,999711.8597495605
2023-04-20,1003929.5669132483,999711.8597495605
2023-04-21,1003929.5669132483,999711.8597495605
2023-04-24,1003929.5669132483,999711.8597495605
2023-04-25,1003929.5669132483,999711.8597495605
2023-04-26,1003929.5669132483,999711.8597495605
2023-04-27,1003929.5669132483,999711.8597495605
2023-04-28,1003929.5669132483,999711.8597495605
2023-05-01,1003929.5669132483,999711.8597495605
2023-05-02,1003929.5669132483,999711.8597495605
2023-05-03,1003331.0406855212,999711.8597495605
2023-05-04,1003251.7589071261,999711.8597495605
2023-05-05,1003251.7589071261,999711.8597495605
2023-05-08,1003251.7589071261,999711.8597495605
2023-05-09,1003251.7589071261,999711.8597495605
2023-05-10,1003251.7589071261,999711.8597495605
2023-05-11,1003251.7589071261,999711.8597495605
2023-05-12,1003251.7589071261,999711.8597495605
2023-05-15,1003251.7589071261,999711.8597495605
2023-05-16,1003251.7589071261,999711.8597495605
2023-05-17,1003251.7589071261,999711.8597495605
2023-05-18,1003251.7589071261,999711.8597495605
2023-05-19,1003251.7589071261,999711.8597495605
2023-05-22,1003251.7589071261,999711.8597495605
2023-05-23,1003251.7589071261,999711.8597495605
2023-05-24,1003251.7589071261,999711.8597495605
2023-05-25,1003251.7589071261,999711.8597495605
2023-05-26,1010295.306827436,999711.8597495605
2023-05-30,1010638.9688910346,999711.8597495605
2023-05-31,1006203.7139929633,999711.8597495605
2023-06-01,1008939.8384283881,999711.8597495605
2023-06-02,1009378.9294099533,999711.8597495605
2023-06-05,1008891.4575608798,999711.8597495605
2023-06-06,1008891.4575608798,999711.8597495605
2023-06-07,1008891.4575608798,999711.8597495605
2023-06-08,1008891.4575608798,999711.8597495605
2023-06-09,1008891.4575608798,999711.8597495605
2023-06-12,1008891.4575608798,999711.8597495605
2023-06-13,1008891.4575608798,999711.8597495605
2023-06-14,1008891.4575608798,999711.8597495605
2023-06-15,1008891.4575608798,999711.8597495605
2023-06-16,1008891.4575608798,999711.8597495605
2023-06-20,1008891.4575608798,999711.8597495605
2023-06-21,1008891.4575608798,999711.8597495605
2023-06-22,1008891.4575608798,999711.8597495605
2023-06-23,1008891.4575608798,999711.8597495605
2023-06-26,1008891.4575608798,999711.8597495605
2023-06-27,1008891.4575608798,999711.8597495605
2023-06-28,1008891.4575608798,999711.8597495605
2023-06-29,1008891.4575608798,999711.8597495605
2023-06-30,1008891.4575608798,999711.8597495605
2023-07-03,1008891.4575608798,999711.8597495605
2023-07-05,1008891.4575608798,999711.8597495605
2023-07-06,1008891.4575608798,999711.8597495605
2023-07-07,1008891.4575608798,999711.8597495605
2023-07-10,1008891.4575608798,999711.8597495605
2023-07-11,1008891.4575608798,999711.8597495605
2023-07-12,1008891.4575608798,999711.8597495605
2023-07-13,1008891.4575608798,999711.8597495605
2023-07-14,1008891.4575608798,999711.8597495605
2023-07-17,1008891.4575608798,999711.8597495605
2023-07-18,1008891.4575608798,999711.8597495605
2023-07-19,1008891.4575608798,999711.8597495605
2023-07-20,1008891.4575608798,999711.8597495605
2023-07-21,1008891.4575608798,999711.8597495605
2023-07-24,1008891.4575608798,999711.8597495605
2023-07-25,1008891.4575608798,999711.8597495605
2023-07-26,1008891.4575608798,999711.8597495605
2023-07-27,1008891.4575608798,999711.8597495605
2023-07-28,1008891.4575608798,999711.8597495605
2023-07-31,1008891.4575608798,999711.8597495605
2023-08-01,1008891.4575608798,999711.8597495605
2023-08-02,1008891.4575608798,999711.8597495605
2023-08-03,1008891.4575608798,999711.8597495605
2023-08-04,1008891.4575608798,999711.8597495605
2023-08-07,1008891.4575608798,999711.8597495605
2023-08-08,1008891.4575608798,999711.8597495605
2023-08-09,1008891.4575608798,999711.8597495605
2023-08-10,1008891.4575608798,999711.8597495605
2023-08-11,1008891.4575608798,999711.8597495605
2023-08-14,1008891.4575608798,999711.8597495605
2023-08-15,1008891.4575608798,999711.8597495605
2023-08-16,1008891.4575608798,999711.8597495605
2023-08-17,1008891.4575608798,999711.8597495605
2023-08-18,1008891.4575608798,999711.8597495605
2023-08-21,1008891.4575608798,999711.8597495605
2023-08-22,1008891.4575608798,999711.8597495605
2023-08-23,1008891.4575608798,999711.8597495605
2023-08-24,1008891.4575608798,999711.8597495605
2023-08-25,1008891.4575608798,999711.8597495605
2023-08-28,1008891.4575608798,999711.8597495605
2023-08-29,1008891.4575608798,999711.8597495605
2023-08-30,1008891.4575608798,999711.8597495605
2023-08-31,1008891.4575608798,999711.8597495605
2023-09-01,1008891.4575608798,999711.8597495605
2023-09-05,1008891.4575608798,999711.8597495605
2023-09-06,1008050.7117754185,999711.8597495605
2023-09-07,1007747.3212610447,999711.8597495605
2023-09-08,1008087.5366383014,999711.8597495605
2023-09-11,1008087.5366383014,999711.8597495605
2023-09-12,1008087.5366383014,999711.8597495605
2023-09-13,1008087.5366383014,999711.8597495605
2023-09-14,1008087.5366383014,999711.8597495605
2023-09-15,1008087.5366383014,999711.8597495605
2023-09-18,1008087.5366383014,999711.8597495605
2023-09-19,1008087.5366383014,999711.8597495605
2023-09-20,1008087.5366383014,999711.8597495605
2023-09-21,1008087.5366383014,999711.8597495605
2023-09-22,1008087.5366383014,999711.8597495605
2023-09-25,1008087.5366383014,999711.8597495605
2023-09-26,1008087.5366383014,999711.8597495605
2023-09-27,1008087.5366383014,999711.8597495605
2023-09-28,1008087.5366383014,999711.8597495605
2023-09-29,1008087.5366383014,999711.8597495605
2023-10-02,1008087.5366383014,999711.8597495605
2023-10-03,1008087.5366383014,999711.8597495605
2023-10-04,1008087.5366383014,999711.8597495605
2023-10-05,1008087.5366383014,999711.8597495605
2023-10-06,1008087.5366383014,999711.8597495605
2023-10-09,1008087.5366383014,999711.8597495605
2023-10-10,1008087.5366383014,999711.8597495605
2023-10-11,1008087.5366383014,999711.8597495605
2023-10-12,1008087.5366383014,999711.8597495605
2023-10-13,1008087.5366383014,999711.8597495605
2023-10-16,1008087.5366383014,999711.8597495605
2023-10-17,1008087.5366383014,999711.8597495605
2023-10-18,1008087.5366383014,999711.8597495605
2023-10-19,1008087.5366383014,999711.8597495605
2023-10-20,1008087.5366383014,999711.8597495605
2023-10-23,1008087.5366383014,999711.8597495605
2023-10-24,1008087.5366383014,999711.8597495605
2023-10-25,1008087.5366383014,999711.8597495605
2023-10-26,1008087.5366383014,999711.8597495605
2023-10-27,1008087.5366383014,999711.8597495605
2023-10-30,1008087.5366383014,999711.8597495605
2023-10-31,1008087.5366383014,999711.8597495605
2023-11-01,1008087.5366383014,999711.8597495605
2023-11-02,1008087.5366383014,999711.8597495605
2023-11-03,1008087.5366383014,999711.8597495605
2023-11-06,1008087.5366383014,999711.8597495605
2023-11-07,1008087.5366383014,999711.8597495605
2023-11-08,1008087.5366383014,999711.8597495605
2023-11-09,1008087.5366383014,999711.8597495605
