date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-11-25,963912.7586783769,1054322.7170054251,963912.7586783769,0,[],0,126
2025-11-26,963912.7586783769,1066318.4555379455,963912.7586783769,0,[],0,125
2025-11-27,963912.7586783769,1067795.4139424653,963912.7586783769,0,[],0,125
2025-11-28,963912.7586783769,1068047.4917706428,963912.7586783769,0,[],0,125
2025-12-01,963912.7586783769,1066642.6498315763,963912.7586783769,0,[],0,125
2025-12-02,963912.7586783769,1061455.3212662113,963912.7586783769,0,[],0,126
2025-12-03,963912.7586783769,1058357.2814599012,963912.7586783769,0,[],0,126
2025-12-04,963912.7586783769,1060410.6219198657,963912.7586783769,0,[],0,126
2025-12-05,963912.7586783769,1066318.4555379455,963912.7586783769,0,[],0,126
2025-12-08,963912.7586783769,1057096.562518105,963912.7586783769,0,[],0,126
2025-12-09,963912.7586783769,1053134.0045954457,963912.7586783769,0,[],0,126
2025-12-10,963912.7586783769,1050288.1525509495,963912.7586783769,0,[],0,126
2025-12-11,963912.7586783769,1055223.2933545008,963912.7586783769,0,[],0,126
2025-12-12,963912.7586783769,1061563.3860307548,963912.7586783769,0,[],0,126
2025-12-15,963912.7586783769,1061023.0622080367,963912.7586783769,0,[],0,124
2025-12-16,963912.7586783769,1054250.7104736082,963912.7586783769,0,[],0,126
2025-12-17,963912.7586783769,1050828.4763736676,963912.7586783769,0,[],0,126
2025-12-18,963912.7586783769,1051296.7936645686,963912.7586783769,0,[],0,126
2025-12-19,963912.7586783769,1057094.6936462866,963912.7586783769,0,[],0,122
2025-12-22,963912.7586783769,1065165.6914270562,963912.7586783769,0,[],0,123
2025-12-23,963912.7586783769,1065129.6331943297,963912.7586783769,0,[],1,124
2025-12-24,963447.6136725814,1064481.244607068,880563.5124152572,1,['COALINDIA.NS'],2,122
2025-12-26,962516.8094204209,1060734.8162134965,797262.8590725205,2,"['COALINDIA.NS', 'MANAPPURAM.NS']",0,123
2025-12-29,961458.2578151963,1056015.8049390325,797262.8590725205,2,"['COALINDIA.NS', 'MANAPPURAM.NS']",1,121
2025-12-30,962561.6468820914,1056628.2452272037,794744.7531137809,2,"['COALINDIA.NS', 'NMDC.NS']",0,126
2025-12-31,962914.30756537,1063796.7977870798,962914.30756537,0,[],1,120
2026-01-01,963987.23156537,1063868.804318897,886762.23156537,1,['CRAFTSMAN.NS'],0,125
2026-01-02,966897.23156537,1071865.9266960314,886762.23156537,1,['CRAFTSMAN.NS'],1,122
2026-01-05,965819.4206476356,1067759.3557097386,803480.91845037,2,"['CRAFTSMAN.NS', 'SJS.NS']",2,121
2026-01-06,963963.9980661826,1066354.4038370356,804692.1963083701,2,"['NAZARA.NS', 'POLYCAB.NS']",0,124
2026-01-07,964629.6217465673,1065273.7561915999,885659.6217465673,1,['POLYCAB.NS'],2,122
2026-01-08,952403.8801825508,1055223.2933545008,797746.1301825508,2,"['BHEL.NS', 'MANAPPURAM.NS']",1,120
2026-01-09,951811.1167221675,1046793.9119191918,870736.8769760737,1,['SAMHI.NS'],0,126
2026-01-12,950827.0176270258,1051404.858429112,950827.0176270258,0,[],0,126
2026-01-13,950827.0176270258,1048739.1876146125,950827.0176270258,0,[],0,126
2026-01-14,950827.0176270258,1047046.0996810056,950827.0176270258,0,[],0,126
2026-01-15,950827.0176270258,1047046.0996810056,950827.0176270258,0,[],0,126
2026-01-16,950827.0176270258,1048414.9933209819,950827.0176270258,0,[],0,126
2026-01-19,950827.0176270258,1043335.7295201606,950827.0176270258,0,[],0,126
2026-01-20,950827.0176270258,1031267.9844558234,950827.0176270258,0,[],0,126
2026-01-21,950827.0176270258,1026476.9666495426,950827.0176270258,0,[],0,126
2026-01-22,950827.0176270258,1032456.6968658031,950827.0176270258,0,[],0,126
2026-01-23,950827.0176270258,1022730.538255971,950827.0176270258,0,[],0,126
2026-01-27,950827.0176270258,1027449.549530435,950827.0176270258,0,[],0,126
2026-01-28,950827.0176270258,1032456.6968658031,950827.0176270258,0,[],0,126
2026-01-29,950827.0176270258,1035194.4841457556,950827.0176270258,0,[],0,126
2026-01-30,950827.0176270258,1032889.0658576138,950827.0176270258,0,[],0,126
2026-02-02,950827.0176270258,1022838.6030205146,950827.0176270258,0,[],0,126
2026-02-03,950827.0176270258,1049135.3884400604,950827.0176270258,0,[],0,126
2026-02-04,950827.0176270258,1050612.3468445803,950827.0176270258,0,[],1,123
2026-02-05,953297.3313020258,1045929.393802843,867460.5344270258,1,['STLTECH.NS'],1,124
2026-02-06,952292.5363801508,1047010.041448279,867460.5344270258,1,['STLTECH.NS'],0,126
2026-02-09,953457.8810067817,1053890.457947251,953457.8810067817,0,[],0,123
2026-02-10,953457.8810067817,1057492.7633435524,953457.8810067817,0,[],1,124
2026-02-11,956099.0971557817,1058537.462689898,871443.0971557817,1,['AMBER.NS'],1,122
2026-02-12,961093.3321509165,1052845.7586009055,872084.0528540415,1,['STLTECH.NS'],1,122
2026-02-13,961744.2149634165,1040597.9422402078,872084.0528540415,1,['STLTECH.NS'],0,125
2026-02-16,960610.7335580415,1047406.3522073629,960610.7335580415,0,[],0,126
2026-02-17,960610.7335580415,1050144.0295536793,960610.7335580415,0,[],0,125
2026-02-18,960610.7335580415,1052593.6807727278,960610.7335580415,0,[],0,126
2026-02-19,960610.7335580415,1038832.8477747837,960610.7335580415,0,[],0,126
2026-02-20,960610.7335580415,1041894.8293483672,960610.7335580415,0,[],1,124
2026-02-23,961714.1665298227,1046289.6463292004,879056.3691665415,1,['DATAPATTNS.NS'],0,126
2026-02-24,961403.4276785415,1036923.6303120895,961403.4276785415,0,[],0,125
2026-02-25,961403.4276785415,1039733.4241238591,961403.4276785415,0,[],0,125
2026-02-26,961403.4276785415,1039553.2428938623,961403.4276785415,0,[],0,124
2026-02-27,961403.4276785415,1027701.7372922488,961403.4276785415,0,[],0,125
2026-03-02,961403.4276785415,1015597.9339951851,961403.4276785415,0,[],0,126
2026-03-04,961403.4276785415,998883.2941218375,961403.4276785415,0,[],0,126
2026-03-05,961403.4276785415,1009906.3398398289,961403.4276785415,0,[],0,126
2026-03-06,961403.4276785415,998739.1711245673,961403.4276785415,0,[],0,126
2026-03-09,961403.4276785415,981340.0844312315,961403.4276785415,0,[],0,126
2026-03-10,961403.4276785415,990453.9126865285,961403.4276785415,0,[],0,126
2026-03-11,961403.4276785415,974639.73922862,961403.4276785415,0,[],0,126
2026-03-12,961403.4276785415,965201.716679692,961403.4276785415,0,[],0,126
2026-03-13,961403.4276785415,946289.6133491095,961403.4276785415,0,[],0,126
2026-03-16,961403.4276785415,955259.3186071364,961403.4276785415,0,[],0,126
2026-03-17,961403.4276785415,962391.9228679223,961403.4276785415,0,[],0,126
2026-03-18,961403.4276785415,970569.1165414174,961403.4276785415,0,[],0,126
2026-03-19,961403.4276785415,944236.2728891451,961403.4276785415,0,[],0,126
2026-03-20,961403.4276785415,944056.2015927845,961403.4276785415,0,[],0,126
2026-03-23,961403.4276785415,919128.1998795788,961403.4276785415,0,[],0,126
2026-03-24,961403.4276785415,935986.9627501966,961403.4276785415,0,[],0,126
2026-03-25,961403.4276785415,951224.7541526606,961403.4276785415,0,[],0,126
2026-03-27,961403.4276785415,932600.8968166187,961403.4276785415,0,[],0,126
2026-03-30,961403.4276785415,912968.2884333214,961403.4276785415,0,[],0,126
2026-04-01,961403.4276785415,927413.5682512538,961403.4276785415,0,[],0,126
2026-04-02,961403.4276785415,927989.840373062,961403.4276785415,0,[],0,126
2026-04-06,961403.4276785415,937499.9793874433,961403.4276785415,0,[],0,126
2026-04-07,961403.4276785415,941894.7963682764,961403.4276785415,0,[],0,126
2026-04-08,961403.4276785415,978674.3036830956,961403.4276785415,0,[],0,126
2026-04-09,961403.4276785415,970785.2460705047,961403.4276785415,0,[],0,126
2026-04-10,961403.4276785415,979646.9964976243,961403.4276785415,0,[],0,122
2026-04-13,961403.4276785415,970893.3108350482,961403.4276785415,0,[],1,121
2026-04-15,960902.0344903164,986203.1087693293,878582.0344903164,1,['INSECTICID.NS'],1,123
2026-04-16,960604.7127735969,986851.6072902271,878507.3111622687,1,['HGINFRA.NS'],2,122
2026-04-17,961649.207680761,993767.9720882894,795928.1130762688,2,"['SYRMA.NS', 'MTARTECH.NS']",0,126
2026-04-20,961032.9095828158,991390.4373346941,961032.9095828158,0,[],0,123
