date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-02-20,1000000.0,995002.6788885143,1000000.0,0,[],0,126
2025-02-21,1000000.0,989889.1465056465,1000000.0,0,[],0,126
2025-02-24,1000000.0,979584.6469659992,1000000.0,0,[],0,126
2025-02-25,1000000.0,979119.801880471,1000000.0,0,[],0,126
2025-02-27,1000000.0,978383.7577547084,1000000.0,0,[],0,126
2025-02-28,1000000.0,962462.1633597092,1000000.0,0,[],0,126
2025-03-03,1000000.0,960912.6403342724,1000000.0,0,[],0,126
2025-03-04,1000000.0,958743.2844544549,1000000.0,0,[],0,126
2025-03-05,1000000.0,970326.1079793047,1000000.0,0,[],0,126
2025-03-06,1000000.0,979119.801880471,1000000.0,0,[],0,126
2025-03-07,1000000.0,979468.4356946172,1000000.0,0,[],0,126
2025-03-10,1000000.0,975245.9352063643,1000000.0,0,[],0,126
2025-03-11,1000000.0,976524.3183020812,1000000.0,0,[],0,126
2025-03-12,1000000.0,975207.2178194084,1000000.0,0,[],0,126
2025-03-13,1000000.0,972572.9577435483,1000000.0,0,[],0,126
2025-03-17,1000000.0,976911.6695031832,1000000.0,0,[],0,126
2025-03-18,1000000.0,976911.6695031832,1000000.0,0,[],0,126
2025-03-19,1000000.0,994421.622531604,1000000.0,0,[],0,126
2025-03-20,1000000.0,1004571.1343023991,1000000.0,0,[],0,126
2025-03-21,1000000.0,1011427.8357559973,1000000.0,0,[],0,126
2025-03-24,1000000.0,1026187.2583266618,1000000.0,0,[],0,124
2025-03-25,1000000.0,1025528.7671958398,1000000.0,0,[],0,126
2025-03-26,1000000.0,1018439.5249784484,1000000.0,0,[],0,124
2025-03-27,1000000.0,1021654.900521733,1000000.0,0,[],0,126
2025-03-28,1000000.0,1019640.414189739,1000000.0,0,[],0,126
2025-04-01,1000000.0,1005655.8122423078,1000000.0,0,[],0,126
2025-04-02,1000000.0,1013558.5333593736,1000000.0,0,[],0,124
2025-04-03,1000000.0,1008987.2808359457,1000000.0,0,[],0,125
2025-04-04,1000000.0,996203.568099805,1000000.0,0,[],0,126
2025-04-07,1000000.0,964980.2121641872,1000000.0,0,[],0,126
2025-04-08,1000000.0,979003.5906090889,1000000.0,0,[],0,126
2025-04-09,1000000.0,972456.7464721663,1000000.0,0,[],0,126
2025-04-11,1000000.0,991593.6572999358,1000000.0,0,[],0,126
2025-04-15,1000000.0,1010575.5803588527,1000000.0,0,[],0,126
2025-04-16,1000000.0,1014604.4348018119,1000000.0,0,[],0,124
2025-04-17,1000000.0,1032540.4564182905,1000000.0,0,[],0,124
2025-04-21,1000000.0,1044781.8892949912,1000000.0,0,[],0,125
2025-04-22,1000000.0,1046137.6480541056,1000000.0,0,[],0,124
2025-04-23,1000000.0,1052994.4677287329,1000000.0,0,[],0,124
2025-04-24,1000000.0,1049624.2226376247,1000000.0,0,[],0,124
2025-04-25,1000000.0,1040636.8235806503,1000000.0,0,[],0,125
