date,value_Loose,value_Tight,benchmark
2026-03-23,961403.4276785415,995670.138083153,919128.1998795788
2026-03-24,961403.4276785415,995670.138083153,935986.9627501966
2026-03-25,961403.4276785415,995670.138083153,951224.7541526606
2026-03-27,961403.4276785415,995670.138083153,932600.8968166187
2026-03-30,961403.4276785415,995670.138083153,912968.2884333214
2026-04-01,961403.4276785415,995670.138083153,927413.5682512538
2026-04-02,961403.4276785415,995670.138083153,927989.840373062
2026-04-06,961403.4276785415,995670.138083153,937499.9793874433
2026-04-07,961403.4276785415,995670.138083153,941894.7963682764
2026-04-08,961403.4276785415,995670.138083153,978674.3036830956
2026-04-09,961403.4276785415,995670.138083153,970785.2460705047
2026-04-10,961403.4276785415,995670.138083153,979646.9964976243
2026-04-13,961403.4276785415,995670.138083153,970893.3108350482
2026-04-15,960902.0344903164,995670.138083153,986203.1087693293
2026-04-16,960604.7127735969,995670.138083153,986851.6072902271
2026-04-17,961649.207680761,995670.138083153,993767.9720882894
2026-04-20,961032.9095828158,995670.138083153,991390.4373346941
